episode,return,return_ma50
852,-1.9006,45.8828
853,28.8806,45.0252
854,37.8359,44.5539
855,-3.5464,43.0527
856,-1.4294,40.9392
857,-1.7838,38.8572
858,48.6701,37.3886
859,19.0976,36.1363
860,16.3085,35.4459
861,9.3720,33.7703
862,17.3396,32.3332
863,8.2516,30.8649
864,28.2818,29.5611
865,29.0665,29.2947
866,17.2471,28.2241
867,8.0265,25.9579
868,-2.6992,23.6784
869,7.1210,23.0193
870,-3.2021,21.5470
871,16.9828,19.6869
872,9.4930,18.8678
873,18.9185,18.6318
874,48.6649,19.2023
875,39.4742,19.5684
876,17.2237,18.6598
877,67.9863,18.8063
878,19.5994,17.9717
879,-6.0909,17.6898
880,8.9823,17.0965
881,17.8443,16.2945
882,30.2960,15.4945
883,39.0885,15.4939
884,9.3606,15.4843
885,48.3827,15.8745
886,29.4753,16.2526
887,-0.0108,15.6748
888,10.0176,15.9099
889,16.4244,16.3009
890,9.4699,16.5761
891,38.5270,17.4014
892,10.4402,17.2287
893,18.3541,17.7270
894,19.1880,18.1608
895,38.8500,18.7675
896,17.1719,18.1299
897,17.0190,18.5380
898,29.5222,18.7549
899,8.1923,18.9528
900,71.5761,71.5761
901,29.9996,50.7878
902,84.9414,62.1724
903,50.9725,59.3724
904,25.0299,52.5039
905,50.6507,52.1950
906,6.8892,45.7228
907,2.9542,40.3767
908,9.7008,36.9683
909,27.4367,36.0151
910,-2.3561,32.5268
911,30.6644,32.3716
912,1.0107,29.9592
913,8.8451,28.4511
914,28.9328,28.4832
915,21.5571,28.0503
916,11.1694,27.0573
917,16.1232,26.4499
918,18.2314,26.0173
919,40.7431,26.7536
920,-13.2594,24.8482
921,41.1388,25.5887
922,-14.6078,23.8410
923,-11.4778,22.3694
924,54.7438,23.6644
925,-12.5680,22.2708
926,19.9654,22.1855
927,9.5392,21.7338
928,30.2068,22.0260
929,39.1795,22.5978
930,19.1177,22.4855
931,-16.0577,21.2810
932,32.5118,21.6213
933,3.9452,21.1015
934,36.2203,21.5334
935,51.9564,22.3785
936,6.5981,21.9520
937,28.2527,22.1178
938,-12.3682,21.2336
939,-13.7139,20.3599
940,38.1853,20.7946
941,65.4510,21.8579
942,23.9335,21.9062
943,66.2477,22.9139
944,-7.4829,22.2384
945,14.4929,22.0701
946,-8.2878,21.4241
947,36.1001,21.7299
948,39.1440,22.0853
949,-17.3797,21.2960
950,30.4839,20.4741
951,55.6195,20.9865
952,-5.6978,19.1738
953,15.8841,18.4720
954,-18.4026,17.6033
955,44.8496,17.4873
956,10.8509,17.5666
957,17.7191,17.8619
958,30.5017,18.2779
959,-1.7516,17.6941
960,16.1119,18.0635
961,23.6751,17.9237
962,78.7183,19.4778
963,-12.4926,19.0511
964,36.6198,19.2048
965,40.5474,19.5846
966,55.7482,20.4762
967,2.9378,20.2125
968,42.6177,20.7002
969,10.9411,20.1042
970,24.6760,20.8629
971,68.0342,21.4008
972,31.0118,22.3132
973,36.0846,23.2644
974,27.4725,22.7190
975,30.2394,23.5752
976,19.6448,23.5687
977,12.8884,23.6357
978,-0.7645,23.0163
979,2.7998,22.2887
980,31.1376,22.5291
981,12.0454,23.0912
982,58.8556,23.6180
983,27.3342,24.0858
984,-15.5752,23.0499
985,9.9139,22.2091
986,-14.8292,21.7805
987,10.3401,21.4223
988,33.2685,22.3350
989,17.7147,22.9636
990,10.9064,22.4180
991,33.3985,21.7769
992,29.4011,21.8863
993,58.5408,21.7322
994,19.4931,22.2717
995,46.6912,22.9156
996,14.0905,23.3632
997,-13.9057,22.3631
998,-13.3428,21.3134
999,8.0535,21.8220
1000,66.6998,22.5463
1001,26.6001,21.9659
1002,4.6778,22.1735
1003,21.3565,22.2829
1004,6.5887,22.7827
1005,49.4105,22.8739
1006,-0.7182,22.6426
1007,24.8789,22.7858
1008,12.2828,22.4214
1009,12.1630,22.6997
1010,-11.4940,22.1476
1011,28.3891,22.2418
1012,-9.1109,20.4853
1013,30.8383,21.3519
1014,5.5640,20.7308
1015,52.3371,20.9665
1016,50.6783,20.8652
1017,50.7076,21.8205
1018,-14.2541,20.6831
1019,0.5723,20.4757
1020,12.9736,20.2417
1021,31.0702,19.5024
1022,57.0744,20.0237
1023,29.9847,19.9017
1024,-13.7207,19.0778
1025,33.7531,19.1481
1026,58.7856,19.9309
1027,-15.7006,19.3591
1028,32.3945,20.0223
1029,60.0363,21.1670
1030,9.0657,20.7256
1031,53.6604,21.5579
1032,40.6350,21.1935
1033,-7.3916,20.4990
1034,21.5357,21.2412
1035,-13.2037,20.7788
1036,55.6278,22.1880
1037,19.1584,22.3643
1038,22.2353,22.1437
1039,23.8696,22.2668
1040,15.0362,22.3494
1041,-4.7510,21.5864
1042,27.2587,21.5435
1043,51.2890,21.3985
1044,34.8117,21.7048
1045,18.3778,21.1386
1046,28.1992,21.4208
1047,59.4581,22.8880
1048,4.9484,23.2539
1049,-0.8672,23.0754
1050,23.6383,22.2142
1051,31.4073,22.3104
1052,16.2653,22.5421
1053,6.3700,22.2424
1054,38.7871,22.8863
1055,24.0817,22.3798
1056,32.3693,23.0415
1057,-15.6708,22.2305
