episode,return,return_ma50
449,190.4697,380.9061
450,459.6175,381.5461
451,362.7131,380.0034
452,412.0423,379.4189
453,338.8489,381.8420
454,443.2250,381.5921
455,312.4389,379.6336
456,241.5233,377.8769
457,382.2405,376.0584
458,412.1701,375.5977
459,397.8011,374.4017
460,444.8261,378.5408
461,351.7363,377.3104
462,388.3761,377.7709
463,469.2571,377.9455
464,422.3433,377.4042
465,379.2619,376.9679
466,361.2125,378.1307
467,386.4772,377.7262
468,433.2279,379.0139
469,332.9666,376.5217
470,120.4164,369.7865
471,336.5739,371.5329
472,454.6693,371.4868
473,502.0353,373.1882
474,335.4587,373.2619
475,472.6598,377.2876
476,319.7751,377.8092
477,387.0683,378.6990
478,463.4841,379.5890
479,446.5654,379.6186
480,336.3095,377.2722
481,412.9600,376.7473
482,304.9117,373.9139
483,486.1547,374.0075
484,405.4143,374.3243
485,352.4370,374.0619
486,455.3620,377.2167
487,342.0523,374.0486
488,297.9162,374.1743
489,268.9396,370.4373
490,493.4993,370.8273
491,284.1274,369.0141
492,333.8637,367.5467
493,441.6885,374.0669
494,406.4775,374.0678
495,364.1723,374.7438
496,293.6396,374.0559
497,327.9357,373.4692
498,451.8092,376.4230
499,401.9144,380.6519
500,291.2144,377.2839
501,415.4161,378.3379
502,476.3743,379.6246
503,198.9711,376.8270
504,482.1162,377.6048
505,377.5650,378.9074
506,399.7168,382.0712
507,406.5585,382.5576
508,309.0310,380.4948
509,244.1439,377.4217
510,287.5732,374.2766
511,322.1787,373.6855
512,399.1045,373.9000
513,282.6430,370.1677
514,379.8121,369.3171
515,454.7581,370.8270
516,270.0861,369.0045
517,187.3642,365.0223
518,442.1147,365.2000
519,446.4763,367.4702
520,438.0737,373.8233
521,393.4015,374.9599
522,282.2435,371.5114
523,442.1131,370.3129
524,404.0181,371.6841
525,362.7221,369.4854
526,380.9755,370.7094
527,389.5202,370.7584
528,429.0900,370.0705
529,404.6995,369.2332
530,373.1996,369.9710
531,372.6916,369.1656
532,331.2742,369.6929
533,440.7780,368.7854
534,423.8221,369.1535
535,228.6412,366.6776
536,425.4812,366.0800
537,416.6155,367.5712
538,420.8192,370.0293
539,477.1857,374.1942
540,415.2411,372.6291
541,315.4730,373.2560
542,349.8937,373.5766
543,491.4384,374.5716
544,366.7604,373.7772
545,457.1996,375.6378
546,424.9232,378.2634
547,416.0753,380.0262
548,324.5416,377.4809
549,403.6507,377.5156
550,322.7576,378.1465
551,462.5349,379.0889
552,410.4858,377.7711
553,460.6540,383.0047
554,327.6406,379.9152
555,425.3682,380.8713
556,371.8264,380.3135
557,453.2653,381.2476
558,279.8343,380.6637
559,431.2360,384.4055
560,355.6404,385.7669
561,434.6365,388.0160
562,332.1477,386.6769
563,423.5861,389.4958
564,418.8896,390.2773
565,333.3724,387.8496
566,438.1575,391.2110
567,472.3351,396.9104
568,369.5775,395.4597
569,419.9782,394.9297
570,302.3586,392.2154
571,280.9008,389.9654
572,344.0165,391.2009
573,448.6057,391.3307
574,328.5867,389.8221
575,410.1398,390.7705
576,307.0713,389.2924
577,473.8537,390.9790
578,391.4077,390.2254
579,424.6983,390.6254
580,407.2027,391.3054
581,419.8438,392.2485
582,425.9597,394.1422
583,259.5774,390.5182
584,423.5511,390.5128
585,240.5484,390.7509
586,464.2024,391.5253
587,353.7892,390.2688
588,351.6184,388.8848
589,453.5088,388.4112
590,347.9153,387.0647
591,301.3249,386.7818
592,120.6106,382.1961
593,432.5844,381.0190
594,428.7630,382.2591
595,326.7149,379.6494
596,358.4377,378.3197
597,297.9011,375.9562
598,470.4005,378.8734
599,356.6952,377.9343
600,496.7918,381.4149
601,501.4548,382.1933
602,446.9613,382.9228
603,387.8369,381.4665
604,473.8756,384.3912
605,382.7753,383.5393
606,403.0548,384.1639
607,365.9919,382.4184
608,456.4920,385.9516
609,169.6241,380.7194
610,214.5242,377.8970
611,501.0951,379.2262
612,398.3589,380.5504
613,460.0592,381.2799
614,442.8791,381.7597
615,470.3672,384.4996
616,206.2856,379.8621
617,438.0183,379.1758
618,126.4803,374.3139
619,298.2000,371.8783
620,318.0922,372.1930
621,357.2085,373.7191
622,478.5164,376.4091
623,431.2762,376.0625
624,363.5990,376.7628
625,395.0037,376.4601
626,379.4299,377.9072
627,325.1405,374.9330
628,404.8446,375.2017
629,330.9537,373.3268
630,421.5584,373.6139
631,189.2627,369.0023
632,460.8003,369.6991
633,395.0041,372.4077
634,335.1374,370.6394
635,310.4717,372.0378
636,345.3780,369.6614
637,410.7978,370.8015
638,470.8835,373.1868
639,370.8544,371.5337
640,472.8698,374.0328
641,388.3690,375.7737
642,397.0142,381.3018
643,446.8347,381.5868
644,376.4211,380.5400
645,462.5952,383.2576
646,434.8208,384.7852
647,416.7358,387.1619
648,440.3410,386.5607
649,383.6114,387.0991
650,97.3753,379.1107
651,475.9022,378.5997
652,433.6101,378.3326
653,385.9386,378.2947
654,436.1777,377.5407
655,452.9129,378.9435
656,151.3580,373.9095
657,428.4213,375.1581
658,454.3726,375.1157
659,394.5772,379.6148
660,394.7557,383.2194
661,450.6990,382.2115
662,377.8803,381.8019
663,378.2418,380.1656
664,456.8843,380.4457
665,452.6318,380.0910
666,471.0790,385.3868
667,360.7052,383.8406
668,349.6402,388.3038
669,434.1734,391.0233
670,426.9526,393.2005
671,455.4448,395.1652
672,425.2455,394.0998
673,352.5232,392.5247
674,378.3773,392.8203
675,409.2189,393.1046
676,450.6884,394.5297
677,455.1227,397.1294
678,422.2306,397.4771
679,367.8941,398.2159
680,401.4731,397.8142
681,406.1266,402.1515
682,453.2948,402.0014
683,369.9988,401.5013
684,342.0393,401.6393
685,455.2943,404.5358
686,375.4764,405.1377
687,381.7577,404.5569
688,263.3888,400.4070
689,375.8289,400.5065
690,458.8646,400.2264
691,343.9963,399.3390
692,474.8170,400.8950
693,400.8398,399.9751
694,414.7824,400.7424
695,439.2343,400.2751
696,381.0791,399.2003
697,271.1136,396.2879
698,400.6458,395.4940
699,382.7430,395.4766
700,340.8358,400.3458
701,412.5220,399.0782
702,402.6169,398.4583
703,375.4272,398.2481
704,485.3073,399.2307
705,395.0829,398.0741
706,412.5670,403.2983
707,431.2518,403.3549
708,447.7825,403.2231
709,277.8656,400.8888
710,406.4352,401.1224
711,465.6225,401.4209
712,340.0371,400.6640
713,437.3013,401.8452
714,310.8880,398.9253
715,267.3307,395.2193
716,444.6425,394.6906
717,322.9823,393.9361
718,483.8126,396.6195
719,354.6136,395.0283
720,365.3835,393.7970
721,434.1358,393.3708
722,400.1362,392.8686
723,408.5025,393.9882
724,454.1619,395.5039
725,442.1137,396.1618
726,341.3915,393.9758
727,407.6808,393.0270
728,471.5821,394.0140
729,424.4686,395.1455
730,227.8335,391.6727
731,401.7030,391.5843
732,339.7182,389.3127
733,358.6960,389.0867
734,402.0967,390.2878
735,414.8758,389.4794
736,398.6005,389.9419
737,459.7091,391.5010
738,305.4637,392.3425
739,470.0975,394.2278
740,491.0281,394.8711
741,246.4135,392.9194
742,489.3273,393.2096
743,397.9946,393.1527
744,403.9597,392.9363
745,316.5124,390.4819
746,380.8911,390.4781
747,309.1566,391.2390
748,412.3114,391.4723
749,416.2066,392.1415
750,416.8966,393.6628
751,394.5533,393.3034
752,436.6639,393.9843
753,263.1937,391.7396
754,205.9503,386.1525
755,405.5963,386.3628
756,426.3371,386.6382
757,445.6325,386.9258
758,394.2677,385.8555
759,429.5386,388.8890
760,312.8340,387.0169
761,404.5995,385.7965
762,416.7784,387.3313
763,280.9179,384.2036
764,474.4282,387.4744
765,427.1374,390.6706
766,386.7516,389.5127
767,484.6828,392.7468
768,369.0154,390.4508
769,335.2761,390.0641
770,399.5209,390.7468
771,417.0385,390.4049
772,399.4086,390.3903
773,450.2138,391.2245
774,466.4851,391.4710
775,324.3212,389.1151
776,426.4723,390.8168
777,399.4167,390.6515
778,373.9421,388.6987
779,441.7737,389.0448
780,464.4437,393.7770
781,493.9188,395.6213
782,485.5282,398.5375
783,326.9141,397.9019
784,479.8808,399.4576
785,378.8437,398.7369
786,369.0612,398.1461
787,422.2625,397.3972
788,390.0310,399.0885
789,412.4262,397.9351
790,389.4499,395.9035
791,462.9827,400.2349
792,258.6061,395.6205
793,408.0340,395.8213
794,329.1022,394.3241
795,164.1569,391.2770
796,339.7131,390.4535
797,458.5229,393.4408
798,326.5472,391.7255
799,389.1263,391.1839
800,155.3994,155.3994
801,138.0093,146.7043
802,-0.6499,97.5862
803,450.1367,185.7239
804,47.1046,158.0000
805,0.1953,131.6992
806,234.6004,146.3994
807,150.8883,146.9605
808,398.8365,174.9467
809,211.7988,178.6319
810,-1.5439,162.2523
811,202.4316,165.6006
812,457.5865,188.0610
813,184.7495,187.8245
814,246.8520,191.7597
815,417.8584,205.8908
816,415.1791,218.2019
817,253.7203,220.1752
818,349.0866,226.9600
819,131.0886,222.1664
820,80.2416,215.4081
821,95.0617,209.9378
822,372.3445,216.9989
