episode,return,return_ma50
761,465.0198,203.5139
762,161.0928,204.6410
763,404.8956,209.3929
764,112.7942,209.7571
765,28.6287,207.0428
766,389.0559,207.3783
767,65.7230,202.7884
768,13.6491,199.8589
769,229.3843,202.4302
770,243.5720,203.7566
771,-2.2480,194.3793
772,349.8173,200.9768
773,199.3501,201.6520
774,314.1257,204.0940
775,494.2495,211.4615
776,392.0174,217.2427
777,200.6717,211.6262
778,14.3690,210.4798
779,14.6601,206.6109
780,86.7922,204.6303
781,203.1226,200.1601
782,5.9924,193.8799
783,453.2376,199.3965
784,261.3628,199.7755
785,371.3156,200.0493
786,198.2505,200.2858
787,102.4367,200.1866
788,396.5590,206.5945
789,0.3552,200.7555
790,385.3144,201.8613
791,132.0758,202.7211
792,412.4568,210.9736
793,141.2141,210.6850
794,190.5730,210.6088
795,450.7618,215.4442
796,138.0948,211.3373
797,269.7674,212.2106
798,83.7817,211.9653
799,275.5987,214.7873
800,26.0448,210.2290
801,191.8583,212.2756
802,78.8982,209.4001
803,190.6821,212.2011
804,296.7621,215.1121
805,403.5135,218.9244
806,52.7717,214.6532
807,141.8852,214.2451
808,101.0216,211.3377
809,225.9979,215.2963
810,312.1506,213.4295
811,341.8707,210.9666
812,44.6500,208.6377
813,481.8000,210.1758
814,142.8605,210.7771
815,214.8029,214.5006
816,176.6450,210.2524
817,36.2643,209.6632
818,118.9333,211.7689
819,268.1358,212.5439
820,340.9572,214.4916
821,238.8460,219.3135
822,128.3740,214.8846
823,267.9113,216.2559
824,149.0272,212.9539
825,146.6241,206.0014
826,148.9619,201.1403
827,220.1930,201.5307
828,266.2185,206.5677
829,49.3873,207.2622
830,176.4632,209.0557
831,39.9094,205.7914
832,160.4012,208.8796
833,370.7450,207.2297
834,204.6877,206.0962
835,81.7739,200.3054
836,87.1024,198.0824
837,376.8211,203.5701
838,334.8752,202.3364
839,450.7416,211.3442
840,36.4295,204.3665
841,187.7163,205.4793
842,69.8425,198.6270
843,396.7662,203.7380
844,396.2305,207.8512
845,50.6082,199.8481
846,386.4290,204.8148
847,324.9196,205.9178
848,201.0409,208.2630
849,82.9216,204.4095
850,400.7482,211.9036
851,372.6550,215.5195
852,185.7807,217.6571
853,82.2332,215.4882
854,373.7857,217.0286
855,298.7578,214.9335
856,158.8159,217.0544
857,291.9082,220.0549
858,139.6871,220.8282
859,177.7338,219.8629
860,250.0562,218.6210
861,57.4150,212.9319
862,15.7070,212.3530
863,41.0982,203.5390
864,459.7772,209.8773
865,32.0570,206.2224
866,94.3944,204.5774
867,136.0184,206.5725
868,84.5598,205.8850
869,208.6158,204.6946
870,115.7587,200.1906
871,28.1204,195.9761
872,452.0758,202.4502
873,202.9060,201.1500
874,346.9191,205.1079
875,390.0969,209.9773
876,278.8701,212.5755
877,80.5418,209.7825
878,212.2592,208.7033
879,245.9843,212.6352
880,179.7733,212.7014
881,2.2608,211.9485
882,459.2131,217.9247
883,416.5852,218.8415
884,264.0746,220.0292
885,55.3778,219.5013
886,92.8938,219.6171
887,466.4153,221.4090
888,211.1516,218.9346
889,226.6404,214.4525
890,456.2958,222.8499
891,66.2048,220.4196
892,191.9023,222.8608
893,361.9154,222.1638
894,95.3972,216.1471
895,223.0548,219.5961
896,260.0208,217.0679
897,86.5579,212.3007
898,194.5289,212.1704
899,354.2547,217.5971
900,94.3045,211.4682
901,344.9899,210.9149
902,409.8529,215.3964
903,166.7894,217.0875
904,106.9337,211.7505
905,189.4012,209.5633
906,355.3396,213.4938
907,210.6997,211.8696
908,146.3580,212.0030
909,313.7426,214.7232
910,270.5246,215.1326
911,123.6549,216.4574
912,294.0994,222.0252
913,106.3084,223.3294
914,441.7338,222.9686
915,382.3599,229.9746
916,103.0588,230.1479
917,268.3618,232.7948
918,232.5205,235.7540
919,368.3621,238.9489
920,221.1258,241.0563
921,241.2457,245.3188
922,127.7507,238.8323
923,340.4754,241.5837
924,166.6107,237.9775
925,31.9821,230.8152
926,112.3096,227.4840
927,196.5613,229.8044
928,63.3197,226.8256
929,251.1596,226.9291
930,140.6801,226.1472
931,166.1835,229.4257
932,335.7859,226.9571
933,391.7611,226.4607
934,102.9308,223.2378
935,155.0415,225.2311
936,251.0825,228.3948
937,344.0804,225.9481
938,136.9612,224.4643
939,47.1133,220.8738
940,299.2656,217.7332
941,49.9423,217.4079
942,98.2259,215.5344
943,229.4886,212.8859
944,244.6706,215.8713
945,308.0011,217.5703
946,250.7144,217.3841
947,103.3700,217.7204
948,-2.4834,213.7801
949,411.4521,214.9241
950,297.2291,218.9826
951,432.9887,220.7425
952,153.7819,215.6211
953,349.1999,219.2693
954,344.8713,224.0281
955,477.1175,229.7824
956,404.9864,230.7753
957,111.0148,228.7817
958,205.1289,229.9571
959,359.2574,230.8674
960,430.6545,234.0700
961,224.6102,236.0891
962,177.8905,233.7649
963,82.9742,233.2982
964,302.6117,230.5158
965,65.4826,224.1782
966,302.1369,228.1598
967,132.3334,225.4392
968,412.5986,229.0408
969,185.4298,225.3821
970,427.8400,229.5164
971,441.2968,233.5174
972,233.7399,235.6372
973,318.6504,235.2007
974,198.0662,235.8298
975,340.6543,242.0033
976,45.8158,240.6734
977,250.7378,241.7569
978,75.7725,242.0060
979,157.5247,240.1333
980,337.9606,244.0789
981,33.0685,241.4166
982,155.8465,237.8178
983,224.7931,234.4784
984,326.4157,238.9481
985,104.1433,237.9302
986,428.2096,241.4727
987,91.4898,236.4209
988,150.0902,236.6835
989,427.1178,244.2836
990,225.6926,242.8121
991,308.8726,247.9907
992,188.4995,249.7962
993,294.1815,251.0901
994,336.1112,252.9189
995,32.8884,247.4166
996,305.1702,248.5057
997,173.7194,249.9127
998,217.8428,254.3192
999,102.2022,248.1342
1000,277.2852,247.7354
1001,0.3812,239.0832
1002,244.7003,240.9016
1003,458.5960,243.0895
1004,-0.5355,236.1814
1005,109.0586,228.8202
1006,377.3463,228.2674
1007,420.1874,234.4508
1008,205.0509,234.4493
1009,65.2798,228.5697
1010,443.2228,228.8211
1011,418.4176,232.6972
1012,245.1941,234.0433
1013,273.0098,237.8440
1014,420.0899,240.1936
1015,408.2283,247.0485
1016,236.2474,245.7307
1017,477.8972,252.6420
1018,372.0084,251.8302
1019,189.9802,251.9212
1020,366.2457,250.6893
1021,215.3939,246.1713
1022,267.7433,246.8513
1023,276.6823,246.0120
1024,142.6118,244.9029
1025,387.6270,245.8423
1026,249.9872,249.9258
1027,379.3549,252.4981
1028,110.1500,253.1856
1029,402.1828,258.0788
1030,93.2267,253.1841
1031,311.1742,258.7462
1032,183.2128,259.2936
1033,57.3196,255.9441
1034,199.6908,253.4096
1035,133.5866,253.9985
1036,290.3144,251.2406
1037,224.0469,253.8917
1038,317.9875,257.2497
1039,305.4181,254.8157
1040,275.5696,255.8132
1041,75.1656,251.1391
1042,269.7217,252.7635
1043,341.2926,253.7057
1044,166.2551,250.3086
1045,382.5199,257.3012
1046,393.7799,259.0734
1047,98.5620,257.5703
1048,361.7918,260.4493
1049,277.0652,263.9465
1050,170.2754,261.8063
1051,336.4021,268.5267
1052,107.6653,265.7860
1053,232.0726,261.2556
1054,207.9184,265.4247
1055,48.2448,264.2084
1056,4.4823,256.7511
1057,109.6818,250.5410
1058,336.0936,253.1618
1059,195.8934,255.7741
1060,122.9239,249.3681
1061,333.2168,247.6641
1062,410.7269,250.9748
1063,59.7781,246.7101
1064,365.2256,245.6129
1065,357.8561,244.6054
1066,46.1713,240.8039
1067,274.1897,236.7297
1068,66.9960,230.6295
1069,373.1687,234.2933
1070,367.0191,234.3087
1071,298.9995,235.9808
1072,310.3839,236.8337
1073,387.7786,239.0556
1074,463.8707,245.4808
1075,350.6036,244.7403
1076,119.3467,242.1275
1077,126.9015,237.0784
1078,462.2432,244.1203
1079,291.6384,241.9094
1080,169.9787,243.4444
1081,290.5771,243.0325
1082,135.0089,242.0684
1083,61.4707,242.1514
1084,254.5717,243.2490
1085,84.3293,242.2639
1086,400.5232,244.4681
1087,241.2522,244.8122
1088,322.8575,244.9096
1089,321.2833,245.2269
1090,241.6858,244.5492
1091,400.6150,251.0582
1092,281.6519,251.2968
1093,120.9759,246.8905
1094,276.8780,249.1029
1095,133.9636,244.1318
1096,74.9259,237.7547
1097,19.2228,236.1679
1098,65.3437,230.2390
1099,246.8946,229.6356
1100,416.5846,234.5617
1101,367.6992,235.1877
1102,198.1387,236.9972
1103,398.5897,240.3275
1104,100.8115,238.1854
1105,425.7277,245.7350
1106,233.8696,250.3228
1107,21.7963,248.5650
1108,304.7095,247.9374
1109,323.5458,250.4904
1110,451.8290,257.0685
1111,42.3221,251.2506
1112,380.5004,250.6461
1113,28.4315,250.0192
1114,61.2195,243.9390
1115,331.5572,243.4131
1116,197.0082,246.4298
1117,307.4483,247.0950
1118,357.6533,252.9081
1119,191.9719,249.2842
1120,191.4979,245.7738
1121,213.3921,244.0616
1122,421.1956,246.2778
1123,377.5284,246.0728
1124,401.5763,244.8270
1125,475.6810,247.3285
1126,218.8482,249.3185
1127,428.6673,255.3538
1128,256.5042,251.2391
1129,448.1769,254.3698
1130,443.0739,259.8317
1131,331.8417,260.6570
1132,327.1015,264.4989
1133,410.0080,271.4696
1134,501.7247,276.4127
1135,277.8534,280.2832
1136,395.2806,280.1783
1137,229.6024,279.9453
1138,225.2339,277.9929
1139,105.5194,273.6776
1140,285.3306,274.5505
1141,28.9463,267.1171
1142,38.1913,262.2479
1143,452.0122,268.8686
1144,168.5861,266.7028
1145,61.4118,265.2517
1146,240.9783,268.5728
1147,354.0238,275.2688
1148,215.7531,278.2770
